obs_wl_vac(nm),Aki(s^-1),fik,Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,
"=""583.5880""","=""5.2e+05""","=""2.7e-03""",C,"=""13.17177770""","=""15.29629325""","=""3s2.3p5.(2P*<3/2>).4p""","=""2[3/2]""","=""2""","=""3s2.3p5.(2P*<1/2>).5d""","=""2[3/2]*""","=""2""",5,5,,
"=""586.1934""","=""2.85e+05""","=""1.47e-03""",C,"=""12.90701530""","=""15.02208834""","=""3s2.3p5.(2P*<3/2>).4p""","=""2[1/2]""","=""1""","=""3s2.3p5.(2P*<1/2>).6s""","=""2[1/2]*""","=""1""",3,3,,
"=""588.4254""","=""1.23e+06""","=""2.13e-03""",C,"=""12.90701530""","=""15.0140655""","=""3s2.3p5.(2P*<3/2>).4p""","=""2[1/2]""","=""1""","=""3s2.3p5.(2P*<1/2>).6s""","=""2[1/2]*""","=""0""",3,1,,
"=""589.0216""","=""1.29e+06""","=""4.79e-03""",C,"=""13.07571571""","=""15.18063359""","=""3s2.3p5.(2P*<3/2>).4p""","=""2[5/2]""","=""3""","=""3s2.3p5.(2P*<3/2>).7s""","=""2[3/2]*""","=""2""",7,5,,
"=""591.3723""","=""1.05e+06""","=""5.51e-03""",C,"=""12.90701530""","=""15.00356588""","=""3s2.3p5.(2P*<3/2>).4p""","=""2[1/2]""","=""1""","=""3s2.3p5.(2P*<1/2>).4d""","=""2[3/2]*""","=""1""",3,3,,
"=""593.0456""","=""1.1e+06""","=""3.5e-03""",D+,"=""13.09487256""","=""15.18550800""","=""3s2.3p5.(2P*<3/2>).4p""","=""2[5/2]""","=""2""","=""3s2.3p5.(2P*<3/2>).7s""","=""2[3/2]*""","=""1""",5,3,,
"=""594.4315""","=""1.8e+05""","=""9.5e-04""",D,"=""13.09487256""","=""15.18063359""","=""3s2.3p5.(2P*<3/2>).4p""","=""2[5/2]""","=""2""","=""3s2.3p5.(2P*<3/2>).7s""","=""2[3/2]*""","=""2""",5,5,,
"=""598.8960""","=""1.2e+05""","=""6.5e-04""",D,"=""13.07571571""","=""15.14592830""","=""3s2.3p5.(2P*<3/2>).4p""","=""2[5/2]""","=""3""","=""3s2.3p5.(2P*<3/2>).5d""","=""2[7/2]*""","=""3""",7,7,,
"=""600.0661""","=""1.4e+05""","=""7.6e-04""",D,"=""13.09487256""","=""15.1610486""","=""3s2.3p5.(2P*<3/2>).4p""","=""2[5/2]""","=""2""","=""3s2.3p5.(2P*<3/2>).5d""","=""2[5/2]*""","=""2""",5,5,,
"=""602.6819""","=""9.0e+05""","=""2.9e-03""",D+,"=""13.30222747""","=""15.3594356""","=""3s2.3p5.(2P*<1/2>).4p""","=""2[3/2]""","=""2""","=""3s2.3p5.(2P*<1/2>).7s""","=""2[1/2]*""","=""1""",5,3,,
"=""603.3797""","=""2.46e+06""","=""1.73e-02""",C,"=""13.07571571""","=""15.13054437""","=""3s2.3p5.(2P*<3/2>).4p""","=""2[5/2]""","=""3""","=""3s2.3p5.(2P*<3/2>).5d""","=""2[7/2]*""","=""4""",7,9,,
"=""604.4896""","=""1.47e+06""","=""1.13e-02""",C,"=""13.09487256""","=""15.14592830""","=""3s2.3p5.(2P*<3/2>).4p""","=""2[5/2]""","=""2""","=""3s2.3p5.(2P*<3/2>).5d""","=""2[7/2]*""","=""3""",5,7,,
"=""605.4399""","=""1.9e+05""","=""1.7e-03""",D+,"=""12.90701530""","=""14.95485204""","=""3s2.3p5.(2P*<3/2>).4p""","=""2[1/2]""","=""1""","=""3s2.3p5.(2P*<1/2>).4d""","=""2[5/2]*""","=""2""",3,5,,
"=""606.1050""","=""4.2e+05""","=""3.9e-03""",C,"=""12.90701530""","=""14.95260474""","=""3s2.3p5.(2P*<3/2>).4p""","=""2[1/2]""","=""1""","=""3s2.3p5.(2P*<1/2>).4d""","=""2[3/2]*""","=""2""",3,5,,
"=""610.0491""","=""5.2e+05""","=""2.9e-03""",D+,"=""13.15314387""","=""15.18550800""","=""3s2.3p5.(2P*<3/2>).4p""","=""2[3/2]""","=""1""","=""3s2.3p5.(2P*<3/2>).7s""","=""2[3/2]*""","=""1""",3,3,,
"=""610.7325""","=""1.21e+06""","=""1.13e-02""",C,"=""13.28263902""","=""15.31272913""","=""3s2.3p5.(2P*<1/2>).4p""","=""2[3/2]""","=""1""","=""3s2.3p5.(2P*<1/2>).5d""","=""2[5/2]*""","=""2""",3,5,,
"=""614.7142""","=""7.6e+05""","=""6.0e-03""",C,"=""13.30222747""","=""15.31916801""","=""3s2.3p5.(2P*<1/2>).4p""","=""2[3/2]""","=""2""","=""3s2.3p5.(2P*<1/2>).5d""","=""2[5/2]*""","=""3""",5,7,,
"=""617.1881""","=""5.0e+05""","=""2.9e-03""",C,"=""13.17177770""","=""15.18063359""","=""3s2.3p5.(2P*<3/2>).4p""","=""2[3/2]""","=""2""","=""3s2.3p5.(2P*<3/2>).7s""","=""2[3/2]*""","=""2""",5,5,,
"=""617.4804""","=""6.7e+05""","=""6.4e-03""",C,"=""13.15314387""","=""15.1610486""","=""3s2.3p5.(2P*<3/2>).4p""","=""2[3/2]""","=""1""","=""3s2.3p5.(2P*<3/2>).5d""","=""2[5/2]*""","=""2""",3,5,,
"=""621.4222""","=""3.9e+05""","=""3.2e-03""",D+,"=""13.17177770""","=""15.1669463""","=""3s2.3p5.(2P*<3/2>).4p""","=""2[3/2]""","=""2""","=""3s2.3p5.(2P*<3/2>).5d""","=""2[5/2]*""","=""3""",5,7,,
"=""621.7658""","=""5.7e+05""","=""3.3e-03""",D+,"=""13.30222747""","=""15.29629325""","=""3s2.3p5.(2P*<1/2>).4p""","=""2[3/2]""","=""2""","=""3s2.3p5.(2P*<1/2>).5d""","=""2[3/2]*""","=""2""",5,5,,
"=""629.8613""","=""9.0e+05""","=""8.9e-03""",D+,"=""13.32785705""","=""15.29629325""","=""3s2.3p5.(2P*<1/2>).4p""","=""2[1/2]""","=""1""","=""3s2.3p5.(2P*<1/2>).5d""","=""2[3/2]*""","=""2""",3,5,,
